id,gender,age,aum227,aum306
117,M,30,0.16,0.16
118,M,31,1000.98,4412.38
119,M,27,6532.13,1715.42
120,M,39,136.09,3282.15
121,M,29,3.19,3.19
122,F,36,65.33,65.33
123,M,45,45482.07,45973.16
124,M,48,-9999,-9999
125,M,31,81631.67,99236.45
126,M,34,9363.45,88434.36
127,M,24,63122.6,62511.12
128,M,54,11764.41,10703.35
129,M,49,27557.79,28953.29
130,M,19,1.62,1.42
131,F,35,43.95,43.95
132,M,25,0,0
133,F,35,66.59,66.59
134,F,18,16.54,10.12
135,M,30,2397.66,88.66
136,M,21,10.49,10.49
137,M,34,592.01,1430.51
138,M,23,7335.53,4649.02
139,M,33,2019.73,1030.29
140,M,37,0,0
141,M,28,149826.78,149126.92
142,M,45,0.16,0.16
143,M,37,2249.15,2249.15
144,F,27,0.07,97.59
145,M,45,39058.03,68358.94
146,M,40,5283.65,484.15
147,M,50,95289.61,95546.73
148,M,27,2630.91,9782.04
149,M,56,71.68,71.68
150,M,36,2298.37,627.47
151,M,42,315744.46,317778.86
152,F,28,4.74,7.04
153,M,22,10.05,460.05
154,M,36,3867.69,3145.05
155,F,31,346.34,346.34
156,M,35,14273.5,26396.32
157,M,26,13177.84,8812.1
158,M,39,3165.68,3166.24
159,M,43,154.44,226.78
160,F,32,41429.3,40219.6
161,M,30,495772.83,495343.56
162,M,35,148208.09,153607.28
163,F,25,278.75,342.48
164,M,30,143.35,9.25
165,M,32,419.62,1002.02
166,M,38,488.43,488.43
167,M,41,1243.75,1468.75
168,M,47,1751.83,521.36
169,M,28,1.64,2619.51
170,M,31,4310.03,3301.78
171,M,42,20893.23,17707.55
172,M,58,37520.52,41029.52
173,F,43,404980.45,401548.6
174,M,21,50.59,2019.93
175,F,30,103.6,597.85
176,M,33,25.64,25.64
177,M,31,49099.85,18964.52
178,M,35,45515.35,5330.23
179,M,46,1537.6,1537.6
180,M,17,3080.77,3043.77
181,M,28,11130.32,10920.33
182,M,23,12474.56,12206.62
183,M,39,-9999,-9999
184,M,73,2235.42,2235.42
185,M,24,2.33,2.33
186,M,25,332.44,111.24
187,M,38,10177.81,10167.21
188,M,28,277.54,4896.62
189,M,34,64.66,954.23
190,M,25,1603.47,99.79
191,M,32,131355.97,149349.88
192,M,37,394738.99,403125.44
193,M,32,575.16,0
194,M,38,1098.8,21812.91
195,M,48,10776.2,2776.83
196,M,30,55153.63,50051.97
197,M,35,29826,26080.96
198,M,34,604.64,184.58
199,M,26,0.4,0.29
200,M,33,661.94,661.94
201,M,23,2973,2718.66
202,M,37,0,0
203,M,38,0,0
204,M,40,462492.1,464596.2
205,M,47,93.92,130.52
206,F,30,1.29,1102.79
207,M,51,5978.86,63861.67
208,M,68,3648.27,3548.27
209,M,31,364074.87,337043.05
210,M,48,0,0
211,M,25,35357.62,36387.81
212,M,26,\N,0.99
213,M,37,69731.23,59844.43
214,M,45,56252.66,13183.71
215,F,32,362.08,301.78
216,F,31,0.01,0
217,M,36,10167.87,10099.53
218,F,32,54.23,1274.19
219,M,35,529.74,529.74
220,M,18,0,0
221,F,26,63.36,60.73
222,M,29,5460.05,283.03
223,M,27,29403.23,25815.78
224,F,45,3613.25,0.01
225,F,23,2.26,2070.9
226,M,29,262.78,460.64
227,M,37,3572.4,1702.43
228,M,33,45.14,46.03
229,M,30,339.72,334.53
230,M,30,117.78,374.84
231,M,30,1833.06,831.66
232,M,37,718.86,718.86
233,M,51,3340,3056
234,M,25,0,0
235,M,39,23505.18,90221.65
236,M,44,33.01,33.01
237,M,21,1026.44,4175.73
238,F,31,3253.64,3636.39
239,M,32,494.28,467.93
240,M,32,48288.4,47888
241,M,20,56,10
242,M,50,8764.66,1464.28
243,M,25,371.84,642.07
244,M,42,13.95,2170.21
245,M,25,0.68,26.39
246,M,32,73.35,482.35
247,M,33,26463.59,24298
248,M,28,0.78,0.74
249,M,42,10345.19,14169.24
250,M,39,104827.82,101889.62
251,F,29,503.86,166.97
252,F,39,35.6,35.6
253,M,35,23.11,23.11
254,M,27,53.79,879.41
255,F,35,1767.95,4765.95
256,M,38,567.08,1161.92
257,M,36,0.12,0.25
258,M,27,10555.25,15669.49
259,M,31,94.33,855.79
260,M,30,1967,2769.83
261,M,38,182.19,182.19
262,M,44,594.47,206594.47
263,M,35,24916.4,23460.4
264,M,30,1994.45,819.42
265,M,39,20558.58,9386.04
266,F,27,29297.35,8421.3
267,M,34,149.13,10149.13
268,M,29,0,12266.65
269,M,30,2.82,428.22
270,M,37,50262.09,50289.47
271,M,35,123.56,23.56
272,M,51,1310.38,585.24
273,M,43,449.32,1757.93
274,M,29,5.86,5464.56
275,M,27,92.33,3519.85
276,F,32,453.1,242.42
277,M,38,0,0
278,M,37,0,2.5
279,M,41,826948.73,820989.57
280,M,39,136136.26,124736.26
281,M,28,117.08,117.08
282,M,31,0,3529
283,F,48,200015.62,200015.62
284,M,29,183.67,183.67
285,M,38,55234.77,12543.52
286,M,33,74.1,74.1
287,M,27,85.72,6458.75
288,M,33,755.11,755.11
289,M,34,0.98,0.98
290,M,27,27.12,0.12
291,M,48,5175.48,2526.2
292,F,34,2108.28,807.38
293,M,27,1.12,1948.49
294,M,37,0,0
295,M,44,844.43,844.43
296,F,40,4.04,4.04
297,M,28,4549.59,3472.92
298,M,23,1320.68,4160.26
299,M,48,80.67,80.67
300,M,19,700.95,25.05
301,M,30,2120.61,1365.71
302,F,32,3432.12,4.6
303,M,30,53.55,1655.97
304,M,27,30835.34,29798.44
305,M,24,21.21,42.01
306,F,33,53499.54,50241.11
307,F,30,2058.55,10170.9
308,M,51,90411.42,90279.84
309,M,23,7488.9,6898.86
310,M,43,3008.12,3010.28
311,M,49,60236.67,60242.14
312,M,27,169.42,99.98
313,M,31,4400.1,602.38
314,M,28,11555.35,10149.76
315,M,25,3.05,0
316,M,35,39.55,3854.05
317,M,30,131639.42,131214.37
318,M,40,4722.03,4522.83
319,M,35,1882.89,223.15
320,M,33,694.98,56.98
321,M,31,1444.42,947
322,F,20,21.04,3.8
323,M,28,1054.29,2054.29
324,M,32,2.88,0.01
325,M,34,2176.89,3461.97
326,M,35,26612.76,12352.08
327,M,25,10676.53,7719.93
328,M,38,53084.97,49781.3
329,F,39,5124.83,3824.63
330,M,40,12.38,12.38
331,F,28,232.22,232.22
332,M,37,2532.16,2344.47
333,M,32,361.5,361.5
334,M,40,5533.09,19636.71
335,M,37,138324.45,142757.47
336,M,26,4531.1,3226.5
337,M,36,0,0
338,M,38,765.22,630.38
339,M,37,6.15,4803.06
340,M,21,0.36,51.86
341,M,29,0,0
342,M,36,1295.05,512.9
343,M,25,1.56,0.06
344,M,42,1.51,1.51
345,M,45,414.17,20.02
346,M,30,127.72,127.72
347,M,30,158.75,158.75
348,M,24,51134.43,6656.51
349,M,38,2.66,2.66
350,M,35,36911.04,36890.04
351,F,48,2988476.55,1034725.45
352,M,24,4158.13,11813.66
353,M,46,9224.81,11416.46
354,M,20,0.91,0.19
355,M,24,460.99,48.98
356,M,34,65587.95,64247.84
357,M,29,2039.83,938.52
358,M,36,37812.76,36746.61
359,F,38,4773.53,1573.5
360,F,31,18.05,235.25
361,F,26,35.58,98.23
362,M,33,264.91,264.91
363,M,22,1334.14,820.9
364,M,25,37622.56,37622.56
365,M,31,534268.69,535377.19
366,M,31,104.08,104.08
367,M,24,885.32,889.32
368,M,23,172.93,1082.58
369,M,31,423135.84,412616.12
370,M,25,9537.03,7590.21
371,M,31,1342856.13,1337085.67
372,M,21,51.99,51.99
373,M,26,591.09,1738.23
374,M,31,1113.94,247.16
375,M,30,81.08,44.77
376,F,28,11191.29,6955.13
377,M,26,0,0
378,M,30,414.33,159.33
379,F,32,196.94,154.94
380,M,34,3444.01,1759.47
381,M,29,947571.78,947528.3
382,M,24,187.43,2759.43
383,F,39,74.38,65.38
384,M,32,22843.25,22843.25
385,M,24,2710,1450
386,M,39,4676.89,2156.18
387,F,48,83.68,72.18
388,M,27,916.5,916.5
389,F,29,214.05,5.09
390,M,47,7283.97,4415.77
391,F,27,18980.18,10.18
392,M,44,4666.81,312.01
393,F,29,2747.97,129.52
394,M,35,3256.11,1562.55
395,F,23,49.17,49.17
396,F,30,57.66,19.66
397,M,49,4276912,4163808.63
398,M,25,445.69,7.49
399,F,29,3353.35,61.23
400,F,28,137.24,5054.62
401,M,46,69.88,69.88
402,M,43,360.51,9618.42
403,M,31,97.15,3873.51
404,M,27,93253.6,94686.07
405,M,56,25934.49,25918.65
406,M,40,2123.98,1028.94
407,M,37,5039.49,4969.46
408,M,30,121616.76,121512.62
409,F,67,85340.12,85690.63
410,M,33,17.03,3167.12
411,F,31,26542.5,1042.5
412,M,32,7645.49,53949.12
413,M,22,190.32,30.36
414,M,44,7332.31,6372.49
415,M,37,9672721.61,9489271.31
416,M,35,15536.22,15536.22
417,M,30,169.56,221.31
418,M,22,1442.58,54.58
419,M,33,-9999,-9999
420,F,24,770.56,1113.74
421,M,38,5.04,5.04
422,F,35,25.52,25.52
423,F,27,271.15,5051.82
424,F,31,871.41,641.94
425,M,28,325.04,325.04
426,M,50,49060.27,48893.61
427,M,33,22.73,17.73
428,M,55,144189.12,142929.27
429,M,37,128758.35,107279.94
430,M,63,18888.74,8506.31
431,F,26,0.36,0.36
432,M,37,118149.74,63098.08
433,M,36,2966323.93,3733872.7
434,F,32,15294.8,15303.14
435,M,33,50109.82,50137.13
436,M,47,3844903.06,3873615.45
437,M,36,106786.13,21846.13
438,M,27,4468.42,4468.42
439,M,42,26338.93,33239.91
440,M,36,0.27,0.27
441,M,24,0,0
442,F,30,8.35,0.05
443,F,36,1581.81,1581.81
444,M,30,215.52,215.52
445,F,44,134.5,426.9
446,F,34,371.21,160.27
447,M,29,856.04,639.91
448,M,34,415.47,2099.38
449,M,25,32861.13,2766.03
450,M,27,305.06,167.06
451,M,34,330644.26,334703.1
452,M,23,0.5,0.5
453,M,46,62853.62,62851.17
454,M,47,645.87,134.82
455,M,26,1206.32,48.63
456,M,29,910.97,855.97
457,M,43,372313.68,128657.64
458,M,48,911.87,2452.89
459,M,25,43.96,78.46
460,M,55,1299238.44,1293104.16
461,F,32,6859.01,2636.87
462,M,27,19.72,957.72
463,F,45,497015.48,499532.09
464,M,32,526316.61,516326.28
465,M,43,185479.37,196373.58
466,M,36,5977.48,1342.86
467,F,25,216.43,21.76
468,M,43,2406.17,1903.11
469,F,29,137.38,6.88
470,M,37,163870.96,162311.57
471,M,44,348279.53,338930.63
472,M,24,17.62,17.62
473,M,49,1.9,1.9
474,M,22,24.13,4634.33
475,M,40,1156650.56,1163303.75
476,M,25,446.29,1.74
477,M,30,38.23,38.23
478,M,33,4934.77,53212.85
479,M,36,371560.17,366936.41
480,M,31,1743.03,10.15
481,M,31,5528.42,26692.08
482,F,23,113.5,47.18
483,M,28,664.23,664.23
484,M,33,650.12,650.12
485,M,38,1278.19,3275.62
486,M,25,0.99,0.99
487,M,35,303.87,14.25
488,M,39,19593.89,439.26
489,F,20,199.2,229.34
490,M,24,0,0
491,F,41,4934.15,8493.81
492,F,37,7323.98,4335.78
493,M,34,112619.15,66734.77
494,M,48,25578.47,25452.28
495,F,44,165637.24,165535.52
496,M,20,27013.51,26387.19
497,M,27,2461.53,2518.18
498,M,36,54778.8,57022.97
499,F,27,21.36,10440.52
500,M,25,7425.59,6080.37
501,M,31,3944.63,14470.7
502,M,33,1868.22,4092.17
503,M,30,85.29,85.29
504,M,29,0,5.8
505,F,39,0.35,0
506,M,37,100.58,2656.58
507,F,20,31.77,7.77
508,M,41,0.03,83.48
509,M,31,49.84,1.6
510,F,33,21.52,21.52
511,M,34,248.82,248.82
512,F,32,8.47,19.03
513,M,35,124699.01,121434.48
514,M,27,355.32,205.32
515,M,35,8826.08,8326.49
516,M,30,3796.32,3796.32
517,M,35,185.36,7075.18
518,M,31,53915.17,71448.32
519,F,20,0,0.4
520,M,31,1.16,1.16
521,M,37,65.1,65.1
522,M,31,1855.71,807.82
523,F,26,2067.03,105.18
524,M,32,1.15,1.15
525,M,49,104577.01,104277.41
526,M,40,3689.56,5623.18
527,M,26,0,0
528,M,35,26423.67,3932.25
529,M,44,3797.38,3674.98
530,M,50,120.58,5407
531,M,30,3309.56,2729.3
532,F,40,1165.73,5169.37
533,M,29,0,0
534,M,40,1032.82,1006.32
535,F,35,52195.04,71000.04
536,M,36,990342.25,990716.28
537,F,26,505.28,186.16
538,M,33,363473.18,363501.34
539,F,23,106.48,15.48
540,M,30,84988,85003.85
541,M,36,0.51,25.51
542,M,29,969.2,469.2
543,M,36,11725.07,11725.07
544,F,47,31096.8,31113.73
545,M,38,2107.24,234.83
546,M,30,0,0
547,F,30,888.64,385.21
548,M,19,18.83,6.83
549,M,37,1281.62,1281.62
550,M,48,207.42,465.6
551,M,37,79.88,79.88
552,M,24,110000.54,119961.33
553,F,31,6,24
554,M,30,27.01,27.01
555,M,28,1756,594.5
556,F,28,4127.59,71.3
557,M,21,0.59,0.59
558,F,42,10963.7,3249.81
559,M,48,47650.15,48522.59
560,M,34,0.94,0.94
561,M,29,1445.02,2804.51
562,M,30,10385.03,5845.51
563,M,44,39.31,160.78
564,M,44,868.93,132.37
565,M,32,10470.92,16376.12
566,M,19,0.85,1.25
567,M,28,7169.15,4670.83
568,M,43,35.61,209.37
569,M,27,124.98,101.76
570,M,40,538.4,252.89
571,M,33,1559651.12,1559762.74
572,M,47,22480.87,24479.88
573,M,27,5431.62,3621.22
574,M,24,3.39,3.33
575,M,43,32996.93,326896.93
576,M,27,19221.05,3796.06
577,M,26,0.03,7.03
578,M,37,0.86,0.86
579,M,53,94.22,94.22
580,M,33,284.34,284.34
581,M,35,6784.94,11812.02
582,F,33,1979.23,13.23
583,M,45,77.15,1791.69
584,M,24,20028.89,20028.89
585,F,31,39.04,3.64
586,F,34,1841.85,21087.73
587,M,20,2.37,2.37
588,M,39,814.36,514.32
589,M,31,7.29,332.29
590,F,43,26064.61,23517.18
591,M,31,-9999,-9999
592,M,33,376.69,105.02
593,M,37,355156.88,383785.08
594,M,25,91.53,38.07
595,F,29,5.6,1818.89
596,M,34,52.04,4018.73
597,M,35,8.88,2966.32
598,M,52,15052.75,10533.75
599,M,43,49.48,49.48
600,M,31,1098.47,1098.47
601,M,26,2604.6,2376.21
602,M,31,0.36,508.84
603,M,30,435.73,11878.23
604,M,32,20604.31,51.91
605,M,43,58.47,325.66
606,M,25,4.21,2204.21
607,M,37,13288.83,5102.73
608,F,48,487.42,3617.55
609,M,32,360.12,2072.08
610,M,28,0.63,1152.33
611,M,32,51628.55,51532.37
612,M,37,91.38,28.92
613,M,42,72.91,72.84
614,F,33,83.78,83.78
615,M,27,59.72,137.18
616,M,30,24890.48,33861.11
617,M,38,12466.81,6039.81
618,M,31,179.62,960.82
619,M,30,645.97,123.04
620,F,23,255.26,1
621,M,35,2127.2,9154.2
622,M,36,51577.21,51738.37
623,M,42,20129.51,35252.12
624,M,40,10624.5,809.5
625,M,26,0.6,0.6
626,M,24,108.84,108.84
627,F,30,21841.04,21550.51
628,F,52,615.35,85765.35
629,M,39,26.02,26.02
630,M,29,4798.47,478.77
631,M,23,75.04,75.04
632,M,54,0.87,0.87
633,M,26,23.35,6.36
634,M,43,55.61,55.61
635,F,32,171.21,60.47
636,M,26,740.16,2939.25
637,M,36,41.02,5002.02
638,M,31,2407.39,2188.92
639,M,39,61215.36,29883.13
640,M,29,31.06,31.06
641,M,40,47604.03,50658.52
642,M,29,2226.35,317.63
643,M,27,0,0
644,M,39,29972.88,29802.6
645,M,40,42214.29,42214.29
646,M,21,28.5,28.5
647,M,28,258.83,3065.03
648,M,38,147.67,122.73
649,M,33,510.06,0
650,M,42,8132.81,4387.38
651,M,42,140204.06,111847.06
652,M,25,55.08,233.99
653,M,44,77.8,77.8
654,F,35,59408.5,50604.71
655,M,24,129946.06,129692.61
656,M,34,1254.97,155.11
657,F,29,812.1,408.9
658,M,25,3869.01,922.5
659,M,31,3565.78,1248.28
660,F,21,2322.37,0.78
661,M,25,14913.72,15885.01
662,M,26,248.73,248.73
663,M,35,9828.82,2228.82
664,M,24,2500.15,2647.97
665,M,51,79238.02,75877.02
666,M,25,6206.83,4041.66
667,M,26,269.83,485.27
668,M,44,54168.5,52069.96
669,M,38,621672.58,621123.16
670,F,31,52.83,797.83
671,M,42,1.03,1.03
672,F,44,80541.18,95941.18
673,M,38,5560.42,4410.41
674,M,26,636.17,32356.07
675,F,29,0.07,1389.45
676,M,48,635.13,3073.13
677,M,35,997566.4,999445.48
678,M,29,16.08,16.08
679,M,53,5022.34,3292.74
680,F,43,1357.58,61266.76
681,M,21,641.57,202.83
682,M,40,4921.71,1800.1
683,M,35,121235.89,103618.27
684,M,39,7309.71,1286.91
685,M,40,890376.31,881293.25
686,M,29,0,0
687,M,42,28.36,28.36
688,M,31,9.22,9.22
689,M,39,76433.59,149405.57
690,M,21,573.86,56.86
691,F,32,427.77,90.01
692,M,43,425097.56,421831.03
693,M,24,42363.38,33295.38
694,M,30,13076.97,10824.76
695,M,43,0.45,0.45
696,M,27,2007.09,847.09
697,M,35,192829.02,188495.73
698,M,34,18.17,18.17
699,M,33,2724.37,200
700,M,36,50029753.43,49873410.71
701,M,53,66765.23,63474.86
702,M,28,13394.67,12855.01
703,F,31,30.72,30.72
704,F,35,904.35,679.6
705,F,42,654.97,330.12
706,M,34,115.22,115.22
707,M,28,64.84,17.41
708,M,29,12.52,92.56
709,M,32,2.92,2.92
710,M,36,30132.8,352.22
711,M,34,147.12,147.12
712,M,23,72.77,46.61
713,F,37,459.73,27.73
714,M,37,2859.88,698.59
715,F,38,215.71,215.71
716,M,51,3067.95,2831.83
717,F,48,5861.65,4802.77
718,M,22,8.02,8.02
719,M,44,2576075.57,1309814.26
720,F,23,3.5,17.88
721,M,28,422.7,215.24
722,M,26,4.85,4.85
723,M,40,1516707.1,1531376.04
724,M,34,11201.64,6951.64
725,M,25,0.26,550.1
726,M,45,53041.7,92102.3
727,F,32,123974.32,115973.01
728,M,45,88172.91,80216.01
729,M,27,250.52,250.52
730,M,43,25336.08,11432.93
731,M,32,2201.38,3540.98
732,M,31,7143.86,2796.69
733,M,29,5726.72,731.71
734,M,33,112.94,112.94
735,M,25,317.13,7.73
736,M,20,809.45,771.11
737,M,24,0.7,22.7
738,M,33,7414.84,98.71
739,F,28,30252.26,29271.6
740,F,29,75310.23,7351.19
741,M,31,56094.12,69869
742,M,31,6431.99,842.24
743,M,50,443.7,393.7
744,M,30,17823.44,13171.14
745,M,33,97113.33,88207.6
746,M,22,5.68,5.68
747,M,38,50560.4,50305.5
748,M,41,16139.78,16088.63
749,M,37,619.2,541.75
750,M,33,1910.17,1461.48
751,M,31,19577.21,6859.23
752,M,40,5412.75,6066.23
753,M,38,3.51,3.51
754,M,39,15244.22,22429.44
755,M,36,10787.59,5566.56
756,F,45,50722.72,50775.69
757,F,55,32225.27,32215.87
758,M,45,504.01,504.01
759,F,43,925038.8,932238.63
760,F,35,21.12,21.12
761,M,31,5138.46,1942.32
762,M,49,12469.94,12469.94
763,M,26,76.12,76.12
764,M,25,19.14,1.74
765,M,42,993.44,89452.44
766,F,26,17559.59,17559.59
767,M,41,4186.78,1734.8
768,M,32,143.74,1735.36
769,M,24,4525.22,4056.22
770,M,26,10915.81,7141.11
771,F,36,158.62,2545.92
772,M,34,61.99,4785.17
773,M,29,218.03,23.13
774,M,37,365.02,4312.95
775,M,29,1487.73,854.33
776,M,21,5,5
777,M,41,146781.87,72442.38
778,M,63,2838.28,2822.28
779,M,32,837.41,2518.49
780,M,46,143362.01,106830.7
781,M,34,757.39,281.89
782,M,30,1357.14,204.44
783,F,29,2558.64,5697.14
784,M,25,8531.14,0.24
785,M,60,0.99,0.99
786,M,31,211.46,521.44
787,M,29,1825.17,15597.37
788,M,45,3233.64,600.77
789,M,30,506.2,6.1
790,M,32,345.52,19.02
791,M,34,21421.57,27135.13
792,F,18,0.08,364.76
793,M,31,1161.99,549.59
794,M,41,24179.23,24085.02
795,M,30,1179.55,1539.9
796,M,32,700.94,469.85
797,M,25,14088.47,12088.47
798,M,33,3.59,0.59
799,M,26,2196.88,1651.22
800,F,30,149.31,573.78
801,M,34,297.26,297.26
802,M,48,310721.21,303110.72
803,M,29,867.64,101.24
804,M,40,11.01,592.8
805,M,26,258.6,258.6
806,M,35,743253.62,743584.16
807,M,32,3190.83,6938.67
808,M,39,18011.6,17891.2
809,F,37,36310.81,62764.13
810,M,48,0.83,0.83
811,M,35,0.04,0.04
812,M,40,13032.35,28633.35
813,M,31,18.29,18.29
814,M,21,0.41,476.91
815,M,28,855.35,637.85
816,M,37,47.96,2242.71
817,F,31,372.45,4220.72
818,M,35,10166.94,9672.17
819,F,32,71672.99,46107.11
820,M,40,73.97,137.38
821,F,38,190027.12,27.12
822,M,24,35.52,23.52
823,M,21,78.72,8.32
824,M,28,0,67.48
825,F,41,85000,85007.8
826,F,31,652.3,26.02
827,M,18,1,1
828,M,39,0,6.12
829,M,35,28226.18,28240.67
830,M,64,602.89,3188.48
831,M,35,-9999,-9999
832,M,43,1021.58,3637.83
833,M,33,11495.1,11322.94
834,M,26,47742.14,24559.46
835,F,40,4.58,4.58
836,M,32,534.59,15682.83
837,M,31,7394.14,8218.54
838,M,26,0,3400
839,M,37,11271.68,10271.68
840,M,34,2487.39,0
841,M,39,239.64,239.64
842,M,32,18535.65,18895.44
843,M,26,0.15,0.15
844,M,27,823.62,0.62
845,M,20,0.72,0.72
846,M,25,10097.58,6578.33
847,F,31,21647.29,18098.93
848,M,30,23.51,943.51
849,F,32,158340.13,161527.3
850,F,31,93014.06,92601.27
851,M,54,8586.14,4084.3
852,M,32,234.49,220.87
853,M,30,3766.16,3741.36
854,M,34,14335.14,24687.48
855,F,29,54.22,44.32
856,M,31,3014.16,9614.16
857,M,53,7203.28,6900.11
858,M,46,148135.82,102527.92
859,M,32,23.9,23.9
860,F,38,582.5,582.5
861,M,20,461.22,281.78
862,M,33,857.68,6562.23
863,F,28,402.59,402.59
864,M,46,757883.33,575338.42
865,M,36,382.01,9182.01
866,M,28,0.01,0.01
867,M,37,-9999,-9999
868,M,33,1325.16,1360.28
869,M,54,82565.76,222052.37
870,M,22,39438.14,37868.39
871,M,29,1045.17,12773.74
872,M,19,0.61,81.85
873,M,48,757.02,701.02
874,M,28,2006.71,1936.81
875,M,59,2980.38,1270.28
876,M,22,1258.17,590.94
877,M,29,1017.41,508.33
878,M,25,978.45,878.45
879,F,38,397.95,757.76
880,M,31,31.87,250.57
881,F,34,676.13,20.33
882,M,44,348.65,1443.65
883,M,24,125.39,25.39
884,M,28,1779.76,1743.99
885,M,46,183380.6,183343.6
886,M,28,21.12,34.05
887,F,37,82.19,82.19
888,M,67,-9999,-9999
889,M,33,30000.99,20000.99
890,M,47,55369.76,49976.96
891,M,29,711.92,3.02
892,M,29,5937.78,299.21
893,F,19,15.42,0.42
894,M,33,0,0
895,M,30,2141.62,2142.18
896,M,30,11886.55,3198.52
897,M,33,7187.44,7205.08
898,F,32,204.21,4120.88
899,F,42,1844.55,6987.36
900,M,52,2020.1,820.1
901,M,36,8756.33,256.33
902,M,26,4118.89,1615.47
903,M,29,736.02,1008.45
904,M,33,0,0
905,M,44,27959.97,20475.89
906,M,32,83261.56,49514.92
907,M,28,51372.27,49735
908,F,28,31.81,139.84
909,M,19,6.77,0.77
910,M,34,29.09,29.09
911,M,23,4349.28,1659.68
912,M,39,809.58,193.41
913,M,30,5752.56,299.05
914,M,31,0.5,0
915,M,32,2387.92,1059.9
916,M,28,7.47,7.47
917,M,54,0.97,0.29
918,M,37,60513.71,60522.07
919,M,32,0.93,0.93
920,M,38,1065.97,29679.65
921,M,30,81792.05,76426.41
922,F,23,101.6,65.2
923,M,25,1,1
924,M,38,11136.8,14158.68
925,F,41,54.09,77.56
926,M,45,4458685.48,4484131.12
927,M,36,923.73,4649.57
928,F,46,154.87,2.36
929,M,45,886978.2,838224.76
930,F,32,6.12,6.13
931,M,31,373.9,745.71
932,M,30,0.42,0.05
933,F,31,13839.79,28223.22
934,M,43,57268.74,54996.19
935,M,37,11303.79,9838.81
936,M,37,10.21,2050.21
937,M,27,8.68,6.18
938,M,25,5594.01,39751.23
939,M,61,405418.88,406787.71
940,M,29,0,2893.44
941,F,36,3423.73,524.59
942,M,45,100000,100000
943,F,28,1.12,8.99
