g2_id,g2_nam,g2_dnam
8001,手工转账,手工转账
8002,手工冲补账,手工冲补账
8003,余额结转,余额结转
8010,货款,货款
8011,往来款,往来款
8012,赔款,赔款
8013,税款,税款
8014,退税,退税
8015,还款,还款
8016,收费,收费
8050,公司卡消费,公司卡消费收入
8051,银联交易本,银行卡ATM＆POS本金
8052,ATM手续费,银行卡ATM手续费
8053,POS手续费,银行卡POS手续费
8054,跨行查询费,银行卡ATM手续费＆跨行查询费
8055,信用卡回佣,信用卡回佣
8056,收单品牌费,银联品牌服务费－收单
8057,发卡品牌费,银联品牌服务费－发卡
8058,银联品牌费,银联品牌服务费
8059,预借现金费,信用卡预借现金手续费
8061,对账长款数,银行卡对账长款数
8062,对账短款数,银行卡对账短款数
8063,长款调账数,银行卡对账长款系统调账数
8064,短款调账数,银行卡对账短款系统调账数
8065,异常交易挂,银行卡异常交易挂账
8066,长短款轧差,银行卡对账长短款和调账轧差
8070,转上日余额,结转40150971余额至40150979
9000,表外核算类,表外核算类摘要码
9001,表外核算,表外核算
A3HA,大额存单,大额存单预约
A3HB,大额存单,大额存单认购
A3I1,手工结息,个人账户手工结息
ABBA,转投资户,结算户转投资户
ABBB,转结算户,投资户转结算户
ABBC,投资户回款,投资户回款
ABBD,投资户出款,投资户出款
ABBF,ABBF,ABBF
ABC4,421清理,421清理
ABFE,SAP过账,SAP过账
ABFT,结售汇,结售汇系统
ABFW,委托购汇,委托购汇
ABMR,401归集,网点401，421余额归集到分行会计部
ABNS,资金运作,人民币资金运作
ABPJ,深圳影像票,深圳票据交换影像系统
ABSC,外币存借,外币上存下借
ACFT,FTP损益,FTP损益
ACMV,移存手续,账户异地移存手续费
ACSP,汇总清算,银联代理一卡通交易汇总清算
ACTF,冻结扣划,冻结扣划
ACTO,缴存准备金,缴存准备金
ACVT,预提增值税,预提增值税
ACW1,VAT计提,增值税总账计提
ACWL,余额结转,账户余额定期自动结转
ACXZ,询证函,公司客户银行询证函业务
ACYT,损益结转,年终结转损益
ACZZ,冲补账,冲补账处理
AG01,一网通代发,一网通代发
AG02,一网通代扣,一网通代扣
AG03,代扣入账,一网通代发扣款入账
AG04,代发退款,一网通代发余款退回
AG10,速汇易付款,速汇易代发-付款2G摘要
AG11,速汇易退票,速汇易代发-退票2G摘要
AG12,速汇易退款,速汇易代发-退款2G摘要
AGAF,住房公积金,代发住房公积金
AGAM,救济金,代发救济金
AGAN,养老金,代发养老金
AGAO,差旅费,代发差旅费
AGAP,交通费,代发交通费
AGAQ,通讯费,代发通讯费
AGBJ,保健费,代发保健费
AGBM,保密费,代发保密费
AGBN,奖金,代发奖金
AGBS,奖学金,代发奖学金
AGBT,批量支付,批量支付
AGBX,报销款,报销款
AGCI,资本受益,代发资本受益
AGCP,加班费,代发加班费
AGCT,车贴,代发车贴
AGDP,代发业务,代发业务
AGDY,递延奖,代发递延奖金
AGFE,代发费用,代发手续费
AGFH,分红款,代发分红款
AGGL,综合代发,综合代发款项
AGGZ,改制费,单位改制费
AGHF,医疗费,代发医疗费
AGIB,继承赠与款,代发继承赠与款
AGIS,保险费,代发保险费
AGJX,干部绩效奖,干部绩效奖
AGKH,烤火费,代发烤火费
AGLX,现金池利息,现金池利息
AGNF,网上交易费,网上交易费
AGOC,境外调账,国际借记卡境外交易调账
AGOT,其它,代发其它
AGPF,费用,费用代发
AGPL,代发个贷,代发个人贷款
AGPO,POS清算款,代发POS清算款
AGPS,农副品销售,代发农副产品销售
AGPY,工资,代发工资
AGQS,对公清算,对公清算
AGRD,退款,代发时，合作方余款退还
AGRT,债产权转让,代发债产权转让
AGSB,社保金,代发社保金
AGSD,补贴费,代发补贴费
AGSH,款项,批量支付款项
AGSS,住房补贴,代发住房补贴
AGST,证券期货款,代发证券期货款
AGSV,劳务费,代发劳务费
AGTB,纳税退还款,代发纳税退还款
AGTR,信托返还,代发信托返还资金
AGWF,福利费,代发福利费
AGWT,委托支付,代发委托支付
AGYB,医保代发,广州医保代发
AGYJ,佣金,佣金
AGZF,住房公积金,代发住房公积金
AGZH,综合代发,综合代发款
AGzc,年金超网,年金超网
AGzy,年金大小额,年金大小额
AJTF,应付计提,应付利息计提
AJTR,计提冲账,应收应付户口冲账
AJTS,应收计提,应收利息计提
AJTX,应付利息划,应付利息划转
AK01,代扣水费,代扣水费
AK03,代扣税费,代扣税费
AK04,批量代扣,批量代扣
AK05,代扣其他,代扣其他
AK06,代扣煤气费,代扣煤气费
AK07,代扣移话费,代扣移动电话费
AK08,代扣电话费,代扣电话费
AK09,代扣电视费,代扣电视费
AK10,代扣物管费,代扣物业管理费
AK11,代扣按揭款,代扣按揭贷款
AK12,退电话初装,退电话初装费
AK13,退电费,退电费
AK14,退燃气费,退燃气使用费
AK15,退水费,退水费
AK16,退市话费,退市内电话费
AK17,退IP话费,退IP电话费
AK18,退能源卡费,退能源卡加油费
AK19,退消费贷款,退消费贷款
AK20,退保险费,退保险费
AK21,退租赁费,退房屋租赁费
AK22,退物管费,退物业管理费
AK23,退清洁费,退清洁费
AK24,退租服费,退租赁服务费
AK25,退保安费,退保安服务费
AK26,退有线电视,退有线电视费
AK27,退排水费,退排水费
AK28,退长途话费,退长途电话费
AK29,退网关费,退网关业务费
AK30,保险陪付金,保险陪付金
AK31,退土地使用,退土地使用费
AK32,退移动话费,退移动电话费
AK33,退排污费,退排污费
AK34,退数据通信,退数据通信费
AK35,排水费,排水费
AK36,直饮水费,直饮水费
AK37,退代理记账,退代理记账服务费
AK38,退线路月租,退线路月租费
AK39,长途电话费,长途电话费
AK40,数据通讯费,数据通讯费
AK41,线路月租费,线路月租费
AK42,代维费,代维费
AK43,网络使用费,网络使用费
AK44,信息服务费,信息服务费
AK45,电信业务费,电信业务费
AK46,IP电话费,IP电话费
AK47,电子商务费,移动电子商务费
AK48,能源卡油费,能源卡加油费
AK49,退代维费,退代维费
AK50,消费贷款,消费贷款
AK51,网关业务费,网关业务费
AK52,土地使用费,土地使用费
AK53,大厦管理费,大厦管理费
AK54,退网络费,退网络使用费
AK55,租赁服务费,租赁服务费
AK56,保安服务费,保安服务费
AK57,电梯维保费,电梯维修保养费
AK58,股东服务费,股东服务费
AK59,押运服务费,押运服务费
AK60,退信息服务,退信息服务费
AK61,消费贷款,消费贷款
AK62,社会保险费,社会保险费
AK63,医疗保险费,医疗保险费
AK64,失业保险费,失业保险费
AK65,福利彩票金,付福利彩票资金
AK66,报考费,报考费
AK67,学杂费,学杂费
AK68,保教费,保教费
AK69,代记账服务,代理记账服务费
AK70,出版物订费,出版物订费
AK71,传输认证费,安全传输认证费
AK72,工商行政费,工商行政管理费
AK73,商检费,商检费
AK74,排污费,排污费
AK75,小额批扣,小额批量业务扣款
AK76,公共事业费,公共事业费（中间业务平台缴费）
AK77,污水费,污水费
AK78,垃圾费,垃圾费
AK79,超计划水费,超计划水费
AKAF,年金管理费,批量扣收年金管理费
AKBT,批量代扣,批量代扣
AKCK,代扣费用,通用的代扣费用（触发特定通知信息）
AKCL,传呼费,代扣传呼费
AKCN,清洁费,代扣清洁费
AKCT,定贷清算,深圳定期贷记业务清算
AKFE,代扣费用,代扣手续费
AKGS,煤气费,代扣煤气费
AKGT,代扣汇总,代扣费用汇总过账
AKHS,数字电视,代扣华数数字电视
AKIL,扣贷款利息,批量代扣贷款利息
AKIS,保险费,代扣保险费
AKLI,扣贷款本息,代扣委托贷款本息
AKLN,按揭款,代扣按揭款
AKMB,手机费,代扣手机费
AKMN,物业管理费,代扣物业管理费
AKNT,上网费,代扣上网费
AKOT,其他,代扣其他
AKPA,境外扣费,国际借记卡境外交易费用
AKRM,房租,代扣房租
AKRZ,融资款,代扣融资款
AKSF,扣贷款本金,批量代扣贷款本金
AKSI,航空票款,航空票款
AKSS,社保费,社会保险费
AKST,学费,代扣学费
AKTE,电费,代扣电费
AKTI,出租车规费,代扣出租车规费
AKTL,电话费,代扣电话费
AKTV,有线电视费,代扣有线电视费
AKTW,水电费,代扣水电费
AKTX,税费,代扣税费
AKWD,代扣业务,代扣业务
AKWT,水费,代扣水费
AKYB,医保代扣,广州医保代扣
ALH0,冻结,冻结
ALO0,透支额度,透支额度管理
ALR0,预留,预留
AMBR,余额上收,上收401/421账户余额
AWA1,增值税上划,增值税金上划汇缴机构
AWA2,进项税转出,增值税进项税转出
AWA3,转未交税金,增值税转未交税金
AWA4,增值税附加,计提增值税附加
AWA5,附加税冲账,附加税计提冲账
AWA7,转应缴税金,未交转应缴税金
AXYK,预处理过账,信用卡预处理系统自动过账
BACA,账务调整,账务调整
BACL,核销或有,核销或有资产负债
BADL,转贴现买入,票据转贴现买入
BADP,电票逆回购,电票逆回购买入返售交易记账
BADS,票据直贴,票据直贴
BAEB,电票转贴现,电票转贴现买卖交易记账（含行内）
BAEC,电票直贴,电票直贴交易记帐
BAEG,电票摊销,电票摊销交易记账
BAEI,电票补收息,电票补收利息交易记账
BAEO,电票回款,电票提示付款回款交易记账
BAEP,电票转卖断,电票正回购卖出到期转卖断交易记账
BAER,电票正回购,电票正回购买卖交易记账
BAEV,电票转逾期,电票转逾期交易记账
BAEX,电票非dvp,电票贴现买入非DVP交易记账
BAFE,托管收费,票据托管费扣收
BAIB,投资票据,投资票据
BAIC,资金登记,资金登记
BAII,票据回款,票据回款
BAIJ,非标利息计,非标利息计提
BAIN,托收回款,票据托收回款
BAIP,投资回款,投资回款
BAIR,投资资金归,投资资金归还
BAIS,系统内转贴,系统内转贴交易
BANC,非标资产结,非标资产结清
BANR,非标资产登,非标资产登记
BARD,赎回票据,票据直贴赎回
BASL,转贴卖出,票据转贴卖出
BATP,电票转买断,电票逆回购买入到期转买断交易记账
BATR,退电票付款,电子商业汇票线下付款被退回
BATS,托管托收,托管票据回款划转至持票人账户
BAZS,卖断被追索,卖断被追索
BBDP,跨行存款,跨行存款
BBDW,跨行取款,跨行取款
BBFE,跨行费用,跨行通存通兑费
BGBY,储债认购,储蓄国债认购
BGBZ,储债认购,储蓄国债（包销）认购
BGP1,提兑本金,储蓄国债（包销）提兑本金-发行期
BGP2,提兑利息,储蓄国债（包销）提兑利息-发行期
BGP3,提兑罚息,储蓄国债（包销）提兑罚息-发行期
BGP4,提兑费用,储蓄国债（包销）提兑费用
BGP5,提兑本金,储蓄国债（包销）提兑本金-存续期
BGP6,提兑利息,储蓄国债（包销）提兑利息-存续期
BGP7,提兑罚息,储蓄国债（包销）提兑罚息-存续期
BGPA,储债强兑,储蓄国债强制兑取（本金+利息-应扣利息-提前兑付手续费）
BGPD,储债提兑扣,储蓄国债提前兑取扣除利息
BGPF,储债提兑费,储蓄国债提前兑取手续费
BGPI,储债提兑利,储蓄国债提前兑取利息
BGPY,储债提兑本,储蓄国债提前兑取本金
BI01,保险投保,保险投保
BI02,保险撤单,保险撤单
BI06,保险代收,保险代收
BI07,保险代付,保险代付
BI11,银保清算,银保资金清算
BI21,银保冲帐,银保冲帐
BILA,支票圈存,支票圈存
BILB,支票圈存付,支票圈存付款
BITB,支票圈存提,支票圈存提回
BPCD,本票撤销兑,银行本票提回兑付完成后撤销兑付
BPDF,本票兑付,银行本票兑付
BPJQ,本票结清,银行本票结清
BPQF,本票签发,银行本票签发
BPTH,本票退回,银行本票未用退回
BPYQ,本票逾期,银行本票逾期付款
BQ00,小额定期借,小额定期借
BQ01,电费,电费
BQ02,家用电费,家用电费
BQ03,生产用电费,生产用电费
BQ04,水暖费,水暖费
BQ05,用水费,用水费
BQ06,排水费,排水费
BQ07,直饮水费,直饮水费
BQ08,污水处理费,污水处理费
BQ09,暖气费,暖气费
BQ10,煤气费,煤气费
BQ11,管道煤气费,管道煤气费
BQ12,电话费,电话费
BQ13,市内电话费,市内电话费
BQ14,长途电话费,长途电话费
BQ15,移动电话费,移动电话费
BQ16,电话初装费,电话初装费
BQ17,IP电话费,IP电话费
BQ18,通讯费,通讯费
BQ19,数据通讯费,数据通讯费
BQ1A,企业年金,企业年金
BQ1B,职业年金,职业年金
BQ1C,公积金,公积金
BQ20,线路月租费,线路月租费
BQ21,代维费,代维费
BQ22,网络使用费,网络使用费
BQ23,信息服务费,信息服务费
BQ24,移动商务费,移动电子商务费
BQ25,网关业务费,网关业务费
BQ26,手机话费,手机话费
BQ27,保险费,保险费
BQ28,续期寿险费,续期寿险费
BQ29,社会保险费,社会保险费
BQ30,养老保险费,养老保险费
BQ31,医疗保险费,医疗保险费
BQ32,车辆保险费,车辆保险费
BQ33,房屋管理费,房屋管理费
BQ34,房屋租赁费,房屋租赁费
BQ35,租赁服务费,租赁服务费
BQ36,物业管理费,物业管理费
BQ37,清洁费,清洁费
BQ38,保安服务费,保安服务费
BQ39,电梯维护费,电梯维护保养费
BQ40,绿化费,绿化费
BQ41,停车费,停车费
BQ42,代理服务费,代理服务费
BQ43,押运服务费,押运服务费
BQ44,票据传递费,票据传递费
BQ45,代理记账费,代理记账服务费
BQ46,学教费,学教费
BQ47,报考费,报考费
BQ48,学杂费,学杂费
BQ49,保教费,保教费
BQ50,有线电视费,有线电视费
BQ51,电视租赁费,有线电视租赁费
BQ52,移动电视费,移动电视费
BQ53,企业管理费,企业管理费
BQ54,工商行政费,工商行政管理费
BQ55,商检费,商检费
BQ56,其他费用,其他费用
BQ57,土地使用费,土地使用费
BQ58,加油卡费,加油卡费
BQ59,消费贷款,消费贷款
BQ60,薪金报酬,薪金报酬
BQ61,工资,工资
BQ62,奖金,奖金
BQ63,养老金,养老金
BQ64,其他代付费,其他代付费用
BQ65,福利彩票奖,付福利彩票奖金
BQ70,烟草货款,烟草货款
BQ71,高速公路费,高速公路费
BQ72,信用卡还款,信用卡还
BQ73,医疗医药费,医疗医药费
BQ74,公积金,公积金
BQ75,税款,税款
BQ76,血液制品费,血液制品费
BQ77,保险金,保险金
BQ78,保障金,保障金
BQ79,检验检疫费,检验检疫费
BQ80,邮购费,邮购费
BQ81,速递费,速递费
BQ82,垃圾费,垃圾费
BQ83,冷气费,冷气费
BQ84,黄页费,黄页费
BQ85,天然气费,天然气费
BQ86,养路费,养路费
BQ87,公交费,公交费
BQ88,彩票奖金,彩票奖金
BQ89,住房补贴,住房补贴
BQ90,邮电费,邮电费
BQ91,使用费,使用费
BQ92,卡费,卡费
BQ93,清分费,清分费
BQ94,利息,利息
BQ95,修理费,修理费
BQ96,托轮费,托轮费
BQ97,管理费,管理费
BQ98,检验费,检验费
BQ99,广告费,广告费
BQAA,主动缴费,主动缴费
BQAB,签约转账,签约转账
BQAC,交通罚没款,交通罚没款
BQAD,羊城通充值,羊城通充值款
BQAE,羊城通消费,羊城通消费款
BQAF,环卫费,环卫费
BQAG,血款,血款
BQAH,退税,退税
BQAI,传统拨款,传统拨款
BQAJ,3A代理电费,3A代理电费
BQAK,3A签约转账,3A签约转账
BQAL,公积金还贷,公积金还贷
BQAM,理赔款,广州定期贷记业务理赔款
BQAN,退保费,广州定期贷记业务退保费
BQAO,红利,广州定期贷记业务红利
BQAP,手续费,广州定期贷记业务手续费
BQAQ,退投资金,广州定期贷记业务退投资金
BQAR,税费,广州定期贷记业务税费
BQAS,资产购置,广州定期贷记业务资产购置
BQAT,城乡医保,广州城乡医保
BQAU,失业保险,广州失业保险
BQAV,工伤保险,广州工伤保险
BQAW,生育保险,广州生育保险
BQAX,职工医保,广州职工医保
BQAY,职工养老,广州职工养老
BQDF,生产用电费,生产用电费（扣款）
BSAA,债券缴款,储蓄国债（包销）向财政部缴款
BSAB,到期划转,储蓄国债（包销）到期资金划转
BSAC,国债结转,储蓄国债（包销）资金结转
BSAD,国债下划款,储蓄国债（包销）下划款
BSAE,OPICS过账,储蓄国债（包销）OPICS过账
BSAF,债券收益,储蓄国债（包销）收益
BSAG,提前兑取,储蓄国债客户提前兑取转我行被动投资
BSAH,利息计提,储蓄国债被动投资部分分期付息投资下的利息计提
BSAI,收到利息,储蓄国债被动投资部分收到财政部下划的利息
BSAJ,到期归还,储蓄国债被动投资部分的本息到期归还
BSP1,定期付息,储蓄国债（包销）付息
BSP2,本息兑付,储蓄国债（包销）到期还本
BSPI,储债付息,储蓄国债付息
BSPY,储债还本,储蓄国债还本
BSWC,损益结转,储蓄国债（包销）OPICS损益结转
BXAC,门禁工本费,保管箱门禁卡工本费
BXAE,箱费用调整,保管箱费用调整
BXAF,自动扣费,保管箱自动续租收费
BXBR,破凿箱费用,保管箱破凿箱手续费
BXCB,退租收费,保管箱退租收费
BXCD,更换资料费,保管箱更换资料费
BXCN,租箱选号费,保管箱租箱选号费
BXDC,箱体损偿金,保管箱设备损坏赔偿金
BXFR,退租退费,保管箱退租退费
BXJC,司法收费,保管箱司法协助收费
BXJR,司法退费,保管箱司法协助退费
BXLC,箱匙赔偿费,保管箱钥匙遗失赔偿费
BXLK,箱挂失费用,保管箱挂失手续费
BXLL,租箱滞违金,保管箱租箱滞纳金/违约金
BXOR,箱逾期租金,保管箱逾期租金
BXPF,航延险,航延险代付
BXRB,租箱收费,保管箱租箱收费
BXRD,租箱保证金,保管箱租箱保证金
BXRK,钥匙挂失费,保管箱钥匙挂失收费
BXRL,箱换锁费用,保管箱换锁手续费
BXRN,保管箱租金,保管箱租金
BXRR,钥匙解挂费,保管箱钥匙解挂收费
BXRT,续租收费,保管箱续租收费
BXSC,资料变更费,保管箱资料变更收费
BXSD,租箱印花税,保管箱租箱印花税
C020,汇兑,汇兑
C029,汇兑退票,汇兑退票
C030,转汇,转汇
C039,转汇退票,转汇退票
C040,委托收款,委托收款
C049,委托收款退,委托收款退
C050,托收承付,托收承付
C059,托收承付退,托收承付退
C060,进账单,进账单
C069,进账单退票,进账单退票
C080,直接贷记,直接贷记
C089,直接贷记退,直接贷记退
C180,直接借记,直接借记
C189,直接借记退,直接借记退
CCBC,营业款,营业款
CCIC,找零存入,公司一卡通CDS存现找零存入
CCPY,商务卡还款,商务卡还款
CDA0,大额存单,大额存单开户
CDA1,大额存单,大额存单还本
CDA2,大额存单,大额存单利息
CDA3,大额存单,大额存单提前支取
CDA4,大额存单,大额存单提前支取补入
CDA5,大额存单,大额存单提前支取撤销
CDA6,大额存单,大额存单中间付息
CDA7,大额存单,大额存单赎回
CDA8,大额存单,大额存单转让
CDA9,大额存单,大额存单受让
CDAA,C+归集定期,C+归集定期关户
CDAB,C+归集定期,C+归集定期周期付息
CDAD,ATM存款,ATM存款
CDAW,ATM取款,ATM取款
CDBB,儿童卡转账,儿童卡转账
CDDF,车主贷,车主贷代付
CDDP,柜台存现,柜台存现
CDGR,3A在线支付,3A支付网在线支付入账
CDGT,3A实时扣款,3A支付网实时扣款
CDHD,挂失费用,挂失费用
CDHY,关联转账,快乐伙伴卡亲子关联转账
CDMD,结算户存款,结算户存款
CDMW,结算户取款,结算户取款
CDPD,消费撤销,POS消费撤销
CDPW,POS消费,POS消费
CDRM,凭证更换,凭证更换费用
CDT1,信用卡取,信用卡取款
CDT2,信用卡存,信用卡存款
CDTR,自助转账,自助转账
CDWD,柜台取现,柜台取现
CDWL,消费返现,M+客户消费返现活动返现金
CDYF,卡片年费,一卡通类卡片年费
CFEP,透支异常挂,网上透支支付异常挂账
CFIN,现金池利息,现金池利息
CFNC,中央财政清,中央财政支付垫款清算
CFRB,财政退款,财政支付协议自协议帐户退款
CFRC,额度回收,财政支付协议额度回收
CFTC,子公司请款,子公司请款
CFTD,子公司上存,子公司上存
CFTP,母公司交易,母公司交易
CFTX,自贸区头寸,自贸区头寸清算
CHAI,ACR加钞,自助设备加钞
CHAO,ACR回钞,自助设备回钞
CHE1,柜员长款,柜员现金长款
CHE2,柜员短款,柜员现金短款
CHE3,设备长款,自助设备现金长款
CHE4,设备短款,自助设备现金短款
CHE5,假币修正,假币修正
CHFX,人行发行库,人行发行库往来
CHGY,国有银行库,国有银行业务库往来
CHIT,系统内调缴,系统内现金调缴
CHNO,新旧系统,新旧系统现金调缴
CHQT,其他同业,其他非银行金融机构往来
CHQY,其他银行,其他股份制银行往来
CHTR,网点内调剂,网点内现金调剂
CHXY,信用社,信用社及其他银行往来
CHYW,人行业务库,人行业务库往来
CISA,票交影像,票据影像交换
CLCA,网联收单侧,网联收单侧清算
CLHA,网联大额清,人行网联大额清算处理账务
CLSA,关结算户,关一卡通下的结算户
CLSB,存折销户,存折销户
CLSF,关结算户,关伪冒一卡通下的结算户
CMSA,同城特约,同城特约委托收款
COTR,快捷理财汇,同业不开户理财汇入收款
CPAA,对公转账出,对公转账正常提出
CPAB,对公转账退,对公转账被支付平台退回
CPAC,对公转账撤,对公转账客户撤销
CPAD,对公转账撤,对公转账内部撤销
CPAE,对公转账过,对公转账银行审核通过/对公转账重提
CPAF,对公转账入,支付平台退回的业务直接入客户账
CPAG,对公转账挂,支付平台退回的业务挂账
CPAH,企业银行审,企业银行业务待银行审核
CPAJ,支付平台退,企业银行和应急模式业务被支付平台退回
CPAK,支付计划审,对公转账贷款支付计划待银行审核
CPAL,支付计划驳,对公转账贷款支付计划银行审核不通过驳回
CPAM,出入金出,期货交易所出入金对公转账正常提出
CPAN,出入金退,期货交易所出入金被支付平台退票
CPBA,交易所调拨,交易所发起跨行转账资金调拨
CPBZ,彩票补账,彩票补账
CPCA,圈存挂账,支票圈存挂账
CPCZ,彩票冲账,彩票冲账
CPDJ,彩票兑奖,彩票奖金兑付
CPFW,技术服务费,彩票技术服务费
CPSX,代销手续费,彩票代销手续费
CPTK,彩票退款,彩票投注失败退款
CPTZ,彩票投注,彩票投注扣款
CPUA,汇入汇款,提回对公户收款
CPUB,提回付款,提回对公户付款
CPUC,提回冲账,提回对公户收款付款业务冲账
CPW1,更改密码,更改密码
CQAA,内部户转出,内部户转账正常提出
CQAB,内部户被拒,内部户转账被支付平台拒绝后退回
CQAC,内部户退票,内部户转账提出后被退票直接入账
CQAD,内部户转撤,内部户转出至支付平台后申请撤销
CQCL,票据清算,商承票据清算
CQCY,客户付款,商承客户付款经办
CQDA,提出借入账,提出借记入账
CQDB,提出借待入,提出借记待手工入账
CQPA,挂账,商承票据挂账
CRFE,基金迁入,基金迁入
CSMH,费用,费用收取（本票，委托收款）
CSTC,集团协转入,集团协议转账转入
CSTD,集团协转出,集团协议转账转出
CSTF,企业银行费,企业银行费用
CSTH,企业银行专,企业银行专用
CSTP,协议转账,协议转账母公司-不计入名义额度
CTFE,证书收费,网上企业银行数字证书费
CTOP,活期转专户,境外投资专户－活期转专户
CTYC,同城贷记,同城贷记
CUCN,POS消费,银联有卡自助消费
CUCP,银联消费,银联有卡自助消费
CUCR,银联代付,银联代付
CUDB,银联代收,银联代收
CUNP,银联消费,银联无卡自助消费
CWBN,预借现金,预借现金转他行
CWD1,本行ATM,本行ATM取款
CWD2,银联ATM,银联ATM取款
CWD3,境外取款,国际卡境外取款
CWD4,无卡取款,本行ATM无卡取款
CWDA,代理取款交,本行ATM代理取款交易
D1CL,批量记账,批量记账
DCRR,银结通存款,柜面通存接收收款-银结通存款
DCSP,银结通存款,柜面通存发起付款-银结通存款
DCTF,FTU转帐,FTU零售汇出汇款
DCTM,存款证明邮,存款证明邮寄费用
DDPS,柜台存款,柜台存款
DDRP,银结通取款,柜面通兑接收付款-银结通取款
DDSR,银结通取款,柜面通兑发起收款-银结通取款
DDTK,现金单退款,现金单退款
DDXJ,订单转现金,收款订单转现金单
DETH,现金贷他行,现金贷转他行（银联）
DEYK,现金贷本行,现金贷转入本行一卡通
